name,position,team,opponent_team,was_home,GW,value,minutes,total_points,form_points,form_minutes,form_ict,last_gw_points,season_form_points,opp_goals_conceded_form,opp_goals_scored_form,fixture_difficulty
Aaron Wan-Bissaka,DEF,Man Utd,4,False,18,53,90,6,3.25,67.5,3.075,6.0,3.0625,0.5,0.75,2
Aaron Wan-Bissaka,DEF,Man Utd,11,False,19,54,90,6,4.5,67.5,3.1,6.0,3.235294117647059,0.5,2.0,3
Aaron Wan-Bissaka,DEF,Man Utd,8,False,19,54,90,2,6.0,90.0,3.675,6.0,3.388888888888889,0.5,0.5,2
Aaron Wan-Bissaka,DEF,Man Utd,15,True,20,54,90,1,5.0,90.0,4.525,2.0,3.3157894736842106,1.5,0.5,2
Aaron Wan-Bissaka,DEF,Man Utd,1,False,21,54,90,8,3.75,90.0,4.425,1.0,3.2,0.25,2.5,4
Aaron Wan-Bissaka,DEF,Man Utd,16,True,22,54,90,17,4.25,90.0,5.074999999999999,8.0,3.4285714285714284,1.5,0.5,2
Aaron Wan-Bissaka,DEF,Man Utd,7,True,23,55,90,4,7.0,90.0,6.725,17.0,4.045454545454546,1.25,1.25,4
Aaron Wan-Bissaka,DEF,Man Utd,18,False,24,56,90,2,7.5,90.0,7.175,4.0,4.043478260869565,2.75,0.75,2
Aaron Wan-Bissaka,DEF,Man Utd,14,True,25,56,90,2,7.75,90.0,6.375,2.0,3.9583333333333335,1.5,1.5,2
Aaron Wan-Bissaka,DEF,Man Utd,5,False,26,56,90,6,6.25,90.0,5.05,2.0,3.88,0.5,1.5,4
Aaron Wan-Bissaka,DEF,Man Utd,6,False,26,56,90,6,3.5,90.0,3.525,6.0,3.9615384615384617,1.75,1.0,3
Aaron Wan-Bissaka,DEF,Man Utd,12,False,27,56,90,6,4.0,90.0,2.4,6.0,4.037037037037037,0.5,2.5,5
Aaron Wan-Bissaka,DEF,Man Utd,19,True,28,57,90,5,5.0,90.0,1.95,6.0,4.107142857142857,0.75,2.0,4
Aaron Wan-Bissaka,DEF,Man Utd,3,True,30,57,90,2,5.75,90.0,2.9749999999999996,5.0,4.137931034482759,1.0,1.5,3
Aaron Wan-Bissaka,DEF,Man Utd,17,False,31,57,90,2,4.75,90.0,3.3499999999999996,2.0,4.066666666666666,1.25,2.25,4
Aaron Wan-Bissaka,DEF,Man Utd,4,True,32,57,90,1,3.75,90.0,4.7,2.0,4.0,1.75,1.5,2
Aaron Wan-Bissaka,DEF,Man Utd,10,False,33,57,90,9,2.5,90.0,5.8,1.0,3.90625,1.0,1.75,3
Aaron Wan-Bissaka,DEF,Man Utd,2,False,35,57,90,5,3.5,90.0,5.6,9.0,4.0606060606060606,1.75,1.5,3
Aaron Wan-Bissaka,DEF,Man Utd,9,True,35,57,0,0,4.25,90.0,5.675000000000001,5.0,4.088235294117647,1.25,2.0,4
Aaron Wan-Bissaka,DEF,Man Utd,11,True,35,57,90,3,3.75,67.5,3.75,0.0,3.9714285714285715,0.75,1.75,4
Aaron Wan-Bissaka,DEF,Man Utd,8,True,37,57,90,2,4.25,67.5,3.925,3.0,3.9444444444444446,2.0,0.5,2
Aaron Wan-Bissaka,DEF,Man Utd,20,False,38,58,0,0,2.5,67.5,4.175000000000001,2.0,3.891891891891892,1.25,0.75,3
Abdoulaye Doucouré,MID,Everton,17,False,1,55,90,3,,,,,,,,4
Abdoulaye Doucouré,MID,Everton,18,True,2,55,64,1,3.0,90.0,6.9,3.0,3.0,3.0,0.0,2
Abdoulaye Doucouré,MID,Everton,6,False,3,55,90,2,2.0,77.0,3.9000000000000004,1.0,2.0,0.5,2.0,3
Abdoulaye Doucouré,MID,Everton,3,True,4,55,90,5,2.0,81.33333333333333,4.333333333333333,2.0,2.0,2.0,2.0,3
Abdoulaye Doucouré,MID,Everton,11,True,5,54,77,2,2.75,83.5,4.9750000000000005,5.0,2.75,2.75,2.75,4
Abdoulaye Doucouré,MID,Everton,16,False,6,54,57,1,2.5,80.25,3.9000000000000004,2.0,2.6,2.0,2.0,2
Abdoulaye Doucouré,MID,Everton,14,False,7,54,90,1,2.5,78.5,4.075,1.0,2.3333333333333335,1.75,1.5,2
Abdoulaye Doucouré,MID,Everton,13,True,8,53,90,1,2.25,78.5,4.15,1.0,2.142857142857143,2.0,1.25,4
Abdoulaye Doucouré,MID,Everton,8,False,9,53,90,9,1.25,78.5,3.375,1.0,2.0,1.0,1.0,2
Abdoulaye Doucouré,MID,Everton,10,True,10,53,90,2,3.0,81.75,5.275,9.0,2.7777777777777777,2.0,1.25,3
Abdoulaye Doucouré,MID,Everton,4,False,11,53,80,2,3.25,90.0,5.7749999999999995,2.0,2.7,2.0,0.25,2
Abdoulaye Doucouré,MID,Everton,5,True,12,53,90,2,3.5,87.5,5.525,2.0,2.6363636363636362,0.5,2.25,4
Abdoulaye Doucouré,MID,Everton,9,False,13,53,90,3,3.75,87.5,5.025,2.0,2.5833333333333335,1.5,1.5,4
Abdoulaye Doucouré,MID,Everton,1,True,14,53,90,2,2.25,87.5,3.0250000000000004,3.0,2.6153846153846154,1.5,0.5,3
Abdoulaye Doucouré,MID,Everton,15,False,15,53,90,6,2.25,87.5,2.4500000000000006,2.0,2.5714285714285716,2.25,1.0,2
Abdoulaye Doucouré,MID,Everton,19,True,17,53,90,2,3.25,90.0,2.3000000000000007,6.0,2.8,1.5,0.75,4
Abdoulaye Doucouré,MID,Everton,20,False,18,53,90,1,3.25,90.0,2.6750000000000007,2.0,2.75,1.75,1.25,3
